ROI,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
101,0.07586933614330874,0.0010315099616296079,0.003961245417326814
102,0.09799789251844046,0.0004312778718882412,0.016821374861668573
103,0.09905163329820864,0.0019918813052157945,0.012523949287110571
104,0.09378292939936775,0.0014894648152841321,0.010404548661348214
105,0.08851422550052686,0.00126048738845687,0.005274801334435572
106,0.08535300316122234,0.0005802243534166544,0.005251342000047881
107,0.061116965226554264,0.0018851733781506627,0.007259370646486446
108,0.11801896733403582,0.0016050650696046915,0.021010683727015988
109,0.08008429926238145,0.0005224242262563747,0.007595665813649991
110,0.14857744994731295,0.0012782720429677253,0.024722008138863022
111,0.09694415173867228,0.001311618270175579,0.011538152172802033
112,0.10642781875658587,0.0029500295669881243,0.008327722202012016
113,0.136986301369863,0.0021452739503719214,0.02099640991495202
114,0.09272918861959957,0.0031723377483738155,0.0058067529831177045
115,0.12012644889357217,0.0032034608937678124,0.009029081158637809
116,0.0821917808219178,0.002149720113999635,0.003149996958443444
117,0.10748155953635405,0.0011204332341838844,0.014640410005883725
118,0.10115911485774498,0.0007936402075469181,0.012757274751366371
119,0.11064278187565858,0.004870772254160497,0.014446867094751147
120,0.11064278187565858,0.001233810406690587,0.013313101438569409
121,0.08535300316122234,0.0015583803515136965,0.005226138899493661
122,0.11696522655426764,0.001900734950847661,0.015838817406499478
123,0.05163329820864067,0.0003245699448231094,0.0037608742184758732
124,0.0684931506849315,0.0005868935988582252,0.003564670109133609
125,0.1095890410958904,0.003285714920880518,0.01139194383689876
126,0.0737618545837724,0.0013716414791497156,0.0069113730683971275
127,0.16649104320337196,0.002056350677817645,0.038584102866221125
128,0.10432033719704951,0.0024120437680347512,0.005485126308007766
129,0.07903055848261327,0.0010670792706513185,0.007723234922681572
130,0.04320337197049526,0.0009959406526078973,0.0021954669259334437
131,0.1095890410958904,0.002078581495956214,0.006376909378462996
132,0.06743940990516333,0.0006313552351353634,0.006162920781803232
133,0.0547945205479452,0.0005757781897889406,0.006467754683357555
134,0.10326659641728134,0.0010226176343741803,0.017395206377806085
135,0.09905163329820864,0.0014516724244485646,0.01375759082148474
136,0.061116965226554264,0.001238256570318301,0.004389198422157816
137,0.0958904109589041,0.0018584963963843796,0.01333446277907601
138,0.05584826132771338,0.0008870096437289085,0.006170157501632887
139,0.10115911485774498,0.002080804577770071,0.008604135281257183
140,0.13066385669125394,0.004657356400030233,0.015508038863412217
141,0.04741833508956796,0.0007358400803866384,0.002566320776312067
142,0.08324552160168598,0.0009537020981446159,0.008246332278093927
143,0.040042149631190724,0.0002156389359441206,0.0019374236873759413
144,0.04320337197049526,8.670019074041963e-05,0.0030803662317884684
145,0.061116965226554264,0.00026010057222125885,0.00463122674385443
146,0.03582718651211802,9.559251799584728e-05,0.0018848658737365244
147,0.06427818756585879,0.0007891940439192043,0.004058392844861431
148,0.053740779768177024,0.0004068239719358152,0.003518334435630395
